家具ID,家具名,文字说明,家具类型（1杂物.2.房子.3.树木. 4.地面）,"排序值,越小排越前",摆放方式（用于确定摆放方式，1.能放置于地板和地面上 2 只能放在地板上,家具图标资源名,家具格子大小(宽;高),起始方格位置,1级家具基础属性id
number,string,string,number,number,number,number,string,string,number
id,itemName,text,type,sort,place,icon,size,position,effectId
40001,公园绿长椅,"公园供人休息的长椅,偶尔有精灵在上面嬉戏",1,1,1,14001,1;1,4;26,500001
40002,路边石灯,"路边石头做的灯,在晚上会吸引喜光的精灵",1,2,1,14002,1;1,4;26,500002
40003,尖型石柱,"尖状的石头,经常放置在建筑旁作为装饰",1,3,1,14003,1;1,4;26,500003
40004,木质邮箱,木质的邮箱，是收信的工具，偶尔也会有调皮的精灵在里面小栖,1,4,1,14004,1;1,4;26,500004
40005,小狗石柱,一个狗状的艺术品，传说是某一位雕刻艺术家根据心中神训练师的样子雕刻的,1,5,1,14005,1;1,4;26,500005
40006,长明路灯,马路边的路灯，为了回家的人们，整夜都释放着幽暗的光,1,6,1,14006,1;1,4;26,500006
40007,铁质路标,铁质的路标，用于告知人们建筑主人的名字，建筑的由来等信息,1,7,1,14007,1;1,4;26,500007
40008,木质路标,木质的路标，用于告知人们道路的名字，历史建筑的信息,1,8,1,14008,1;1,4;26,500008
40009,消防栓,随处可见的消防栓，用于熄灭调皮的火系精灵制造出的危险火焰,1,9,1,14009,1;1,4;26,500009
40010,沙滩大伞,遮阳的大伞，居家旅行必备,1,10,1,14010,1;1,4;26,500010
40101,精灵研制中心,精灵学家工作的场所，是专家们研究各类精灵的喜好，性格，生活习性的地方,2,1,1,14101,3;2,-5;24,500501
40102,精灵便利店,便利店，不仅贩售格人们需要的日常用品，也贩售精灵需要的各种用品,2,2,1,14102,3;2,-15;0,500502
40103,普通民居,普通的住房，安全又温馨，主人肯定是非常热情好客的,2,3,1,14103,2;1,-9;24,500503
40104,神秘便利店,神秘的便利店，会经常有探险家在里面进行稀有物品的交易,2,4,1,14104,2;1,7;55,500504
40105,精灵塔,神秘的建筑，晚上进去的人都说感觉到有神秘的东西在他们身边游荡,2,5,1,14105,1;2,8;80,500505
40106,精灵大厦,精灵的超级大商城，只有你想不到的，没有它没有卖的,2,6,1,14106,2;1,-4;106,500506
40107,精灵中心,里面有很漂亮的女孩帮你恢复精灵的状态哦,2,7,1,14107,2;2,8;1,500507
40108,精灵商店,精灵专业商店，售卖一些野外使用的道具，避免你的精灵在野外出现意外,2,8,1,14108,2;2,0;0,500508
40109,精灵博士所,所有有资格成为精灵训练师的小伙伴的起点，大家获得第一只精灵的地方,2,9,1,14109,1;1,7;35,500509
40110,高级民居,稍微贵一点的房子，贵的原因应该是它有两个烟囱吧,2,10,1,14110,1;1,4;44,500510
40201,枯树,常年没有水的滋润，看似已经枯死了的树，有人给它浇水又会回春的吧？,3,1,1,14201,1;1,4;26,501001
40202,桧柏,路边常见的树，夏天为人们提供习习凉意，冬天挡住了寒风的骚扰,3,2,1,14202,1;1,4;26,501002
40203,圆柏树,柏树的一种，叶子会随着季节的变化由浅绿变成深绿,3,3,1,14203,1;1,4;26,501003
40204,榆树,一种热带路边的树，有些精灵很喜欢吃它的果实,3,4,1,14204,1;1,4;26,501004
40205,椰树,热带海滩常见的树，它见证了人们和水系精灵的嬉戏打闹,3,5,1,14205,1;1,4;26,501005
40206,雪松,生命力很强的松树，下雪的时候可以看到雪松的枝头上都是白雪，非常漂亮,3,6,1,14206,1;1,4;26,501006
40207,棕榈,热带常见的树，较矮，却藏着很多身型小的精灵,3,7,1,14207,1;1,4;26,501007
40208,远古树,据说年龄很大很大，人们很敬畏它，但是精灵们却很喜爱它,3,8,1,14208,1;1,4;26,501008
40209,仙人掌,沙漠地带常见的植物，也是一些精灵的食物,3,9,1,14209,1;1,4;26,501009
40210,香柏树,枝叶茂盛，树经常散发着奇异的香气，吸引着精灵们,3,10,1,14210,1;1,4;26,501010
